46820
817	00	85
1836	0017	10
1393	02	174
2579	024	13
2087	028	34
873	03	78
852	04	29
2967	04052019	12
1749	04062019	17
3178	04102019	15
862	05	63
853	06	36
3013	07	29
2101	08	31
3061	08h00	10
2276	08h30	10
1928	09	24
2897	091	18
818	10	452
626	100	130
2208	1000	77
7	100000	316
632	10000000	459
2577	1015	23
3031	106	13
1270	10tr	22
619	11	166
3107	11000000	30
2486	111	12
2997	111a	10
1080	115	15
1020	117	18
3612	119	13
2433	11h30	14
3653	120	12
3064	1200	13
601	12000000	129
3672	121	17
3548	127	12
95	12a	31
3723	12b	10
512	12h	40
2277	12h00	27
139	13	535
2767	13000000	10
3323	137	10
1407	139	11
2278	13h00	29
513	13h30	18
140	13th	19
341	14	125
2934	1400	11
2138	14000000	22
363	14999999	207
1861	14h	10
400	15	273
1136	1500	32
1056	15000000	189
1558	15h00	27
2860	15tr	21
845	16	86
1842	16000000	16
755	161	17
2862	162	11
3465	163	14
3598	165	10
975	16h30	12
819	17	133
3509	17000	10
1989	17h	34
1039	17h00	37
514	17h30	55
1280	18	85
3300	180	17
1815	18000000	23
3108	1848	19
820	19	56
3349	190	13
1845	194	10
972	198	13
529	1994	12
2279	1995	16
3109	1999	22
2414	19999999	25
2763	1a	29
1986	1b	17
2528	1m55	10
2187	1m67	13
530	20	236
2004	200	27
2901	2000	27
2228	20000000	92
1430	2005	20
1559	2007	38
1431	2008	50
2875	2009	18
1779	2010	26
531	2011	45
1432	2012	32
3346	2013	13
2280	2014	16
141	2015	48
3014	2016	14
1560	2017	56
635	2018	44
3133	2019	12
2980	20190225	19
3478	20190226	19
2874	20190227	18
1125	20190228	12
359	20190304	30
2482	20190305	12
3204	20190306	15
2217	20190307	14
2170	20190308	15
2407	20190309	11
362	20190311	25
2837	20190312	13
2324	20190313	17
2161	20190314	30
2363	20190315	27
2146	20190316	22
858	20190318	46
766	20190319	31
945	20190320	49
3040	20190321	50
1052	20190322	83
411	20190323	72
633	20190325	222
1004	20190326	219
1054	20190327	184
3038	20190327t24000700	16
3543	20190328t24000700	14
3245	20190329t24000700	14
970	20190330	48
1745	20190331	92
1062	20190401	12
2157	20190403	20
2578	20190403t24000700	20
1410	20190404	19
2734	20190405	49
2804	20190405t24000700	14
974	20190406	36
1926	20190407t24000700	12
2126	20190408	40
1317	20190409	40
138	20190410	109
2971	20190410t24000700	16
3252	20190413t24000700	19
3589	20190414t24000700	10
965	20190415	57
2959	20190415t24000700	12
1750	20190417t24000700	33
2169	20190418t24000700	15
3102	20190420	12
2962	20190422	13
2136	20190422t24000700	40
441	20190424t24000700	146
1055	20190425t24000700	131
745	20190426t24000700	129
1345	20190430	53
3481	202	14
1509	204	44
1876	21	58
3110	21000000	30
2415	216	20
3362	219	11
1265	22	128
2191	2230	10
1561	22h00	29
3607	233	10
3514	235	13
1318	24	118
2956	241	10
142	2424	54
3211	246	11
1169	24c	10
884	24h	31
874	25	340
2248	25000000	34
1630	25bis	10
2422	26	99
2873	26032019	32
2898	2662	11
787	27	48
610	270	74
94	27032019	1273
2088	2706	14
611	272	75
2218	28	93
1780	29	48
3294	2a	10
935	2d	38
1308	30	218
1288	300	46
2643	3000	22
2597	30000	12
2738	30000000	19
612	302	76
1781	304	19
1913	307	27
2509	31	24
926	32	64
